,count,author,time,thread_id,comment_id
179,2001178,Urbul,1505515600,707bht,dn2d76b
180,2001179,[deleted],1505515921,707bht,dn2dfak
181,2001180,Urbul,1505515960,707bht,dn2dg8f
182,2001181,[deleted],1505516101,707bht,dn2djp3
183,2001182,Urbul,1505516147,707bht,dn2dkvd
184,2001183,smarvin6689,1505516191,707bht,dn2dlyu
185,2001184,kdiuro13,1505516217,707bht,dn2dmko
186,2001185,[deleted],1505516268,707bht,dn2dnth
187,2001186,Urbul,1505516358,707bht,dn2dq1x
188,2001187,[deleted],1505516448,707bht,dn2dsaw
189,2001188,kdiuro13,1505516487,707bht,dn2dtbj
190,2001189,[deleted],1505516539,707bht,dn2dunh
191,2001190,davidjl123,1505516560,707bht,dn2dv5k
192,2001191,kdiuro13,1505516683,707bht,dn2dy5r
193,2001192,Urbul,1505516971,707bht,dn2e58q
194,2001193,[deleted],1505517059,707bht,dn2e7ej
195,2001194,Urbul,1505517303,707bht,dn2edb1
196,2001195,kdiuro13,1505517983,707bht,dn2etlq
197,2001196,Urbul,1505518081,707bht,dn2evzo
198,2001197,kdiuro13,1505518142,707bht,dn2exe4
199,2001198,[deleted],1505519445,707bht,dn2fpex
200,2001199,username111112222233,1505519731,707bht,dn2fwi4
201,2001200,[deleted],1505519886,707bht,dn2g09r
202,2001201,Urbul,1505519914,707bht,dn2g0wa
203,2001202,[deleted],1505519941,707bht,dn2g1jk
204,2001203,kdiuro13,1505519969,707bht,dn2g27r
205,2001204,[deleted],1505520001,707bht,dn2g32s
206,2001205,kdiuro13,1505520033,707bht,dn2g3tm
207,2001206,cfcgtyk,1505520257,707bht,dn2g91o
208,2001207,Urbul,1505520342,707bht,dn2gb15
209,2001208,cfcgtyk,1505520542,707bht,dn2gfq9
210,2001209,kdiuro13,1505520838,707bht,dn2gmmi
211,2001210,cfcgtyk,1505520950,707bht,dn2gp7z
212,2001211,Bhuladnga,1505521055,707bht,dn2grlv
213,2001212,kdiuro13,1505521655,707bht,dn2h5bv
214,2001213,[deleted],1505521700,707bht,dn2h6ex
215,2001214,kdiuro13,1505521759,707bht,dn2h7u2
216,2001215,cfcgtyk,1505521800,707bht,dn2h8rp
217,2001216,kdiuro13,1505522161,707bht,dn2hh0v
218,2001217,[deleted],1505522335,707bht,dn2hkxo
219,2001218,kdiuro13,1505523032,707bht,dn2i0hu
220,2001219,Bhuladnga,1505524338,707bht,dn2itq2
221,2001220,kdiuro13,1505524456,707bht,dn2iwb2
222,2001221,Bhuladnga,1505524570,707bht,dn2iyu8
223,2001222,Urbul,1505524855,707bht,dn2j599
224,2001223,kdiuro13,1505525113,707bht,dn2jbak
225,2001224,Bhuladnga,1505525220,707bht,dn2jdu5
226,2001225,kdiuro13,1505525491,707bht,dn2jk3o
227,2001226,Bhuladnga,1505525522,707bht,dn2jksy
228,2001227,kdiuro13,1505525537,707bht,dn2jl56
229,2001228,MegaUltraSonic,1505525606,707bht,dn2jmou
230,2001229,kdiuro13,1505525638,707bht,dn2jnes
231,2001230,smarvin6689,1505525759,707bht,dn2jq3f
232,2001231,MegaUltraSonic,1505525914,707bht,dn2jtf7
233,2001232,kdiuro13,1505526088,707bht,dn2jx8x
234,2001233,MegaUltraSonic,1505526416,707bht,dn2k4p8
235,2001234,kdiuro13,1505526940,707bht,dn2kg7n
236,2001235,MegaUltraSonic,1505527033,707bht,dn2ki7m
237,2001236,kdiuro13,1505527343,707bht,dn2kozk
238,2001237,MegaUltraSonic,1505527374,707bht,dn2kpp0
239,2001238,kdiuro13,1505527440,707bht,dn2kr68
240,2001239,Urbul,1505528664,707bht,dn2lhek
241,2001240,kdiuro13,1505528831,707bht,dn2lkzx
